census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,pop_urban_commune,pop_european_total,share_european,share_french,share_italian,share_maltese,share_jewish,share_muslim,ratio_italian_to_french,urbanization_rate,sex_ratio,persons_per_household,pop_density,log_pop_total,log_pop_density,ethno_fractionalization
1956,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,57360,56575,54,439,256,26,10,29368,27992,11247,0,731,0.01274,0.00765,0.00446,0.00045,0.00094,0.98631,0.5831,0.0,1.0492,5.1,18.5,10.9571,2.9179,0.0271
1921,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,25976,25498,52,256,149,15,6,13300,12676,5093,0,426,0.0164,0.00986,0.00574,0.00058,0.002,0.9816,0.582,0.0,1.0492,5.1,30.56,10.1649,3.4197,0.0363
1926,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,26792,26250,54,293,171,17,7,13718,13074,5253,0,488,0.01821,0.01094,0.00638,0.00063,0.00202,0.97977,0.5836,0.0,1.0493,5.1,31.52,10.1959,3.4506,0.0399
1931,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,29905,29235,60,366,214,21,9,15311,14594,5864,0,610,0.0204,0.01224,0.00716,0.0007,0.00201,0.9776,0.5847,0.0,1.0491,5.1,35.18,10.3058,3.5605,0.0441
1936,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,32357,31568,71,431,251,25,11,16567,15790,6345,0,718,0.02219,0.01332,0.00776,0.00077,0.00219,0.97562,0.5824,0.0,1.0492,5.1,38.07,10.3846,3.6393,0.0479
1946,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,40081,39231,88,457,267,27,11,20521,19560,7859,0,762,0.01901,0.0114,0.00666,0.00067,0.0022,0.97879,0.5842,0.0,1.0491,5.1,47.15,10.5987,3.8534,0.0418
1956,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,46931,46044,89,479,279,28,12,24029,22902,9202,0,798,0.017,0.01021,0.00594,0.0006,0.0019,0.9811,0.5825,0.0,1.0492,5.1,55.21,10.7564,4.0112,0.0373
1921,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,103903,92530,2901,4031,3945,347,149,53198,50705,20373,31748,8472,0.08154,0.0388,0.03797,0.00334,0.02792,0.89054,0.9787,0.30555,1.0492,5.1,27.34,11.5512,3.3085,0.2032
1926,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,107166,94477,2992,4614,4515,397,171,54869,52297,21013,32745,9697,0.09049,0.04305,0.04213,0.0037,0.02792,0.88159,0.9785,0.30555,1.0492,5.1,28.2,11.5821,3.3394,0.2184
1931,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,119621,104148,3339,5774,5650,497,213,61246,58375,23455,36551,12134,0.10144,0.04827,0.04723,0.00415,0.02791,0.87065,0.9785,0.30556,1.0492,5.1,31.48,11.6921,3.4493,0.2366
1936,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,129427,111167,3974,6798,6652,586,250,66267,63160,25378,39547,14286,0.11038,0.05252,0.0514,0.00453,0.0307,0.85892,0.9785,0.30555,1.0492,5.1,34.06,11.7709,3.5281,0.2559
1946,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,160323,137099,4923,8721,8504,754,322,82086,78237,31435,48988,18301,0.11415,0.0544,0.05304,0.0047,0.03071,0.85514,0.9751,0.30556,1.0492,5.1,42.19,11.9849,3.7422,0.262
1956,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,187724,160454,4978,10633,10343,921,395,96114,91610,36809,57360,22292,0.11875,0.05664,0.0551,0.00491,0.02652,0.85473,0.9727,0.30555,1.0492,5.1,49.4,12.1427,3.9,0.2625
1921,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,28862,28644,29,104,76,7,2,14777,14085,5659,0,189,0.00655,0.0036,0.00263,0.00024,0.001,0.99245,0.7308,0.0,1.0491,5.1,4.12,10.2703,1.4166,0.015
1926,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,29769,29522,30,119,87,8,3,15242,14527,5837,0,217,0.00729,0.004,0.00292,0.00027,0.00101,0.9917,0.7311,0.0,1.0492,5.1,4.25,10.3012,1.4476,0.0165
1931,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,33228,32924,33,149,108,9,5,17013,16215,6515,0,271,0.00816,0.00448,0.00325,0.00027,0.00099,0.99085,0.7248,0.0,1.0492,5.1,4.75,10.4111,1.5575,0.0182
1936,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,35952,35593,40,175,128,11,5,18407,17545,7049,0,319,0.00887,0.00487,0.00356,0.00031,0.00111,0.99001,0.7314,0.0,1.0491,5.1,5.14,10.4899,1.6363,0.0198
1946,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,44534,44147,49,186,135,12,5,22801,21733,8732,0,338,0.00759,0.00418,0.00303,0.00027,0.0011,0.99131,0.7258,0.0,1.0491,5.1,6.36,10.704,1.8503,0.0173
1956,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,52146,51741,50,195,142,12,6,26699,25447,10225,0,355,0.00681,0.00374,0.00272,0.00023,0.00096,0.99223,0.7282,0.0,1.0492,5.1,7.45,10.8618,2.0081,0.0155
1921,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,33191,31289,187,696,933,60,26,16993,16198,6508,4329,1715,0.05167,0.02097,0.02811,0.00181,0.00563,0.9427,1.3405,0.13043,1.0491,5.1,60.35,10.41,4.1001,0.1101
1926,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,34234,32077,194,798,1068,68,29,17528,16706,6712,4465,1963,0.05734,0.02331,0.0312,0.00199,0.00567,0.93699,1.3383,0.13043,1.0492,5.1,62.24,10.441,4.1311,0.1205
1931,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,38212,35538,216,998,1336,86,38,19565,18647,7492,4984,2458,0.06433,0.02612,0.03496,0.00225,0.00565,0.93002,1.3387,0.13043,1.0492,5.1,69.48,10.5509,4.241,0.1331
1936,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,41345,38195,257,1175,1573,101,44,21168,20177,8106,5393,2893,0.06997,0.02842,0.03805,0.00244,0.00622,0.92381,1.3387,0.13044,1.0491,5.1,75.17,10.6297,4.3198,0.1443
1946,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,51214,47599,318,1342,1789,115,51,26221,24993,10042,6680,3297,0.06438,0.0262,0.03493,0.00225,0.00621,0.92941,1.3331,0.13043,1.0491,5.1,93.12,10.8438,4.5338,0.1342
1956,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,59968,55963,322,1502,1997,129,55,30704,29264,11759,7822,3683,0.06142,0.02505,0.0333,0.00215,0.00537,0.93321,1.3296,0.13044,1.0492,5.1,109.03,11.0016,4.6916,0.1273
1921,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,40407,40201,40,83,75,6,2,20688,19719,7923,0,166,0.00411,0.00205,0.00186,0.00015,0.00099,0.9949,0.9036,0.0,1.0491,5.1,26.94,10.6068,3.2935,0.0102
1926,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,41676,41444,42,95,86,7,2,21338,20338,8172,0,190,0.00456,0.00228,0.00206,0.00017,0.00101,0.99443,0.9053,0.0,1.0492,5.1,27.78,10.6377,3.3245,0.0111
1931,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,46519,46235,47,118,107,8,4,23818,22701,9121,0,237,0.00509,0.00254,0.0023,0.00017,0.00101,0.99389,0.9068,0.0,1.0492,5.1,31.01,10.7476,3.4344,0.0122
1936,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,50333,49999,55,140,126,10,3,25770,24563,9869,0,279,0.00554,0.00278,0.0025,0.0002,0.00109,0.99336,0.9,0.0,1.0491,5.1,33.56,10.8264,3.5132,0.0132
1946,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,62348,61983,69,148,133,10,5,31922,30426,12225,0,296,0.00475,0.00237,0.00213,0.00016,0.00111,0.99415,0.8986,0.0,1.0492,5.1,41.57,11.0405,3.7273,0.0117
1956,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,73004,72625,69,155,140,11,4,37378,35626,14315,0,310,0.00425,0.00212,0.00192,0.00015,0.00095,0.99481,0.9032,0.0,1.0492,5.1,48.67,11.1983,3.885,0.0103
1921,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,51951,49074,416,1472,868,85,36,26599,25352,10187,5772,2461,0.04737,0.02833,0.01671,0.00164,0.00801,0.94462,0.5897,0.1111,1.0492,5.1,37.11,10.8581,3.6138,0.1065
1926,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,53584,50338,429,1686,992,97,42,27435,26149,10506,5954,2817,0.05257,0.03146,0.01851,0.00181,0.00801,0.93942,0.5884,0.11112,1.0492,5.1,38.27,10.889,3.6448,0.1161
1931,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,59811,55807,479,2110,1242,121,52,30623,29188,11728,6646,3525,0.05894,0.03528,0.02077,0.00202,0.00801,0.93306,0.5886,0.11112,1.0492,5.1,42.72,10.9989,3.7547,0.1277
1936,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,64713,59993,569,2484,1462,143,62,33133,31580,12689,7190,4151,0.06414,0.03838,0.02259,0.00221,0.00879,0.92706,0.5886,0.11111,1.0492,5.1,46.22,11.0777,3.8335,0.1385
1946,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,80162,74482,706,2966,1768,167,73,41043,39119,15718,8907,4974,0.06205,0.037,0.02206,0.00208,0.00881,0.92914,0.5961,0.11111,1.0492,5.1,57.26,11.2918,4.0476,0.1348
1956,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,93862,87371,713,3436,2068,191,83,48058,45804,18404,10429,5778,0.06156,0.03661,0.02203,0.00203,0.0076,0.93085,0.6019,0.11111,1.0492,5.1,67.04,11.4496,4.2054,0.1316
1921,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,36078,35118,72,577,266,31,14,18472,17606,7074,0,888,0.02461,0.01599,0.00737,0.00086,0.002,0.97339,0.461,0.0,1.0492,5.1,48.1,10.4934,3.8734,0.0522
1926,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,37211,36121,74,660,305,36,15,19052,18159,7296,0,1016,0.0273,0.01774,0.0082,0.00097,0.00199,0.97071,0.4621,0.0,1.0492,5.1,49.61,10.5244,3.9043,0.0573
1931,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,41535,40181,83,826,381,44,20,21266,20269,8144,0,1271,0.0306,0.01989,0.00917,0.00106,0.002,0.9674,0.4613,0.0,1.0492,5.1,55.38,10.6343,4.0142,0.0637
1936,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,44940,43344,99,973,449,52,23,23009,21931,8812,0,1497,0.03331,0.02165,0.00999,0.00116,0.0022,0.96449,0.4615,0.0,1.0492,5.1,59.92,10.7131,4.093,0.0692
1946,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,55668,53959,122,1032,476,56,23,28502,27166,10915,0,1587,0.02851,0.01854,0.00855,0.00101,0.00219,0.9693,0.4612,0.0,1.0492,5.1,74.22,10.9272,4.3071,0.06
1956,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,65182,63396,124,1080,499,58,25,33373,31809,12781,0,1662,0.0255,0.01657,0.00766,0.00089,0.0019,0.9726,0.462,0.0,1.0492,5.1,86.91,11.0849,4.4649,0.0537
1921,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,114006,101770,2686,4225,4682,449,194,58371,55635,22354,49066,9550,0.08377,0.03706,0.04107,0.00394,0.02356,0.89267,1.1082,0.43038,1.0492,5.1,81.43,11.644,4.3998,0.1995
1926,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,117586,103884,2771,4835,5360,515,221,60205,57381,23055,50607,10931,0.09296,0.04112,0.04558,0.00438,0.02357,0.88347,1.1086,0.43038,1.0492,5.1,83.99,11.6749,4.4307,0.2151
1931,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,131250,114482,3093,6049,6705,644,277,67200,64050,25736,56487,13675,0.10419,0.04609,0.05109,0.00491,0.02357,0.87224,1.1084,0.43038,1.0492,5.1,93.75,11.7849,4.5406,0.2339
1936,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,142011,122226,3682,7124,7895,758,326,72710,69301,27846,61119,16103,0.11339,0.05017,0.05559,0.00534,0.02593,0.86068,1.1082,0.43038,1.0492,5.1,101.44,11.8637,4.6194,0.2529
1946,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,175910,150838,4560,9090,10036,970,416,90065,85845,34492,75708,20512,0.11661,0.05167,0.05705,0.00551,0.02592,0.85747,1.1041,0.43038,1.0492,5.1,125.65,12.0777,4.8335,0.2581
1956,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,205976,176470,4613,11043,12164,1180,506,105460,100516,40386,88648,24893,0.12085,0.05361,0.05906,0.00573,0.0224,0.85675,1.1015,0.43038,1.0492,5.1,147.13,12.2355,4.9913,0.2591
1921,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,23089,21566,127,740,577,55,24,11822,11267,4527,2886,1396,0.06046,0.03205,0.02499,0.00238,0.0055,0.93404,0.7797,0.12499,1.0493,5.1,32.98,10.0471,3.496,0.1259
1926,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,23815,22086,131,848,660,63,27,12193,11622,4670,2977,1598,0.0671,0.03561,0.02771,0.00265,0.0055,0.9274,0.7783,0.12501,1.0491,5.1,34.02,10.0781,3.527,0.1379
1931,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,26583,24436,147,1062,826,79,33,13610,12973,5213,3323,2000,0.07524,0.03995,0.03107,0.00297,0.00553,0.91923,0.7778,0.125,1.0491,5.1,37.98,10.188,3.6369,0.1524
1936,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,28761,26233,174,1249,972,93,40,14726,14035,5640,3595,2354,0.08185,0.04343,0.0338,0.00323,0.00605,0.9121,0.7782,0.125,1.0492,5.1,41.09,10.2668,3.7157,0.165
1946,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,35627,32526,216,1526,1194,115,50,18241,17386,6986,4453,2885,0.08098,0.04283,0.03351,0.00323,0.00606,0.91296,0.7824,0.12499,1.0492,5.1,50.9,10.4809,3.9298,0.1635
1956,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,41717,38091,218,1800,1412,137,59,21359,20358,8180,5215,3408,0.08169,0.04315,0.03385,0.00328,0.00523,0.91308,0.7844,0.12501,1.0492,5.1,59.6,10.6387,4.0876,0.1632
1921,HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,28862,28384,289,123,57,7,2,14777,14085,5659,0,189,0.00655,0.00426,0.00197,0.00024,0.01001,0.98344,0.4634,0.0,1.0491,5.1,0.76,10.2703,-0.2751,0.0327
1926,HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,29769,29254,298,141,65,8,3,15242,14527,5837,0,217,0.00729,0.00474,0.00218,0.00027,0.01001,0.9827,0.461,0.0,1.0492,5.1,0.78,10.3012,-0.2441,0.0342
1931,HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,33228,32625,332,176,81,9,5,17013,16215,6515,0,271,0.00816,0.0053,0.00244,0.00027,0.00999,0.98185,0.4602,0.0,1.0492,5.1,0.87,10.4111,-0.1342,0.0358
1936,HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,35952,35238,395,207,96,11,5,18407,17545,7049,0,319,0.00887,0.00576,0.00267,0.00031,0.01099,0.98014,0.4638,0.0,1.0491,5.1,0.95,10.4899,-0.0554,0.0392
1946,HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,44534,43706,490,220,101,12,5,22801,21733,8732,0,338,0.00759,0.00494,0.00227,0.00027,0.011,0.98141,0.4591,0.0,1.0491,5.1,1.17,10.704,0.1587,0.0367
1956,HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,52146,51296,495,231,106,12,6,26699,25447,10225,0,355,0.00681,0.00443,0.00203,0.00023,0.00949,0.9837,0.4589,0.0,1.0492,5.1,1.37,10.8618,0.3165,0.0322
1921,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,33191,30480,404,1038,1154,81,34,16993,16198,6508,4329,2307,0.06951,0.03127,0.03477,0.00244,0.01217,0.91832,1.1118,0.13043,1.0491,5.1,51.06,10.41,3.9331,0.1543
1926,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,34234,31176,417,1188,1320,93,40,17528,16706,6712,4465,2641,0.07715,0.0347,0.03856,0.00272,0.01218,0.91067,1.1111,0.13043,1.0492,5.1,52.67,10.441,3.964,0.1678
1931,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,38212,34442,465,1487,1653,115,50,19565,18647,7492,4984,3305,0.08649,0.03891,0.04326,0.00301,0.01217,0.90134,1.1116,0.13043,1.0492,5.1,58.79,10.5509,4.0739,0.184
1936,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,41345,36901,553,1751,1945,136,59,21168,20177,8106,5393,3891,0.09411,0.04235,0.04704,0.00329,0.01338,0.89251,1.1108,0.13044,1.0491,5.1,63.61,10.6297,4.1527,0.1992
1946,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,51214,46019,686,2029,2255,158,67,26221,24993,10042,6680,4509,0.08804,0.03962,0.04403,0.00309,0.01339,0.89856,1.1114,0.13043,1.0491,5.1,78.79,10.8438,4.3668,0.1889
1956,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,59968,54172,693,2297,2552,179,75,30704,29264,11759,7822,5103,0.0851,0.0383,0.04256,0.00298,0.01156,0.90335,1.111,0.13044,1.0492,5.1,92.26,11.0016,4.5246,0.1805
1921,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,33191,31941,245,526,428,36,15,16993,16198,6508,4329,1005,0.03028,0.01585,0.0129,0.00108,0.00738,0.96234,0.8137,0.13043,1.0491,5.1,36.88,10.41,3.6076,0.0734
1926,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,34234,32830,253,602,491,40,18,17528,16706,6712,4465,1151,0.03362,0.01758,0.01434,0.00117,0.00739,0.95899,0.8156,0.13043,1.0492,5.1,38.04,10.441,3.6386,0.0798
1931,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,38212,36488,283,755,614,51,21,19565,18647,7492,4984,1441,0.03771,0.01976,0.01607,0.00133,0.00741,0.95488,0.8132,0.13043,1.0492,5.1,42.46,10.5509,3.7485,0.0875
1936,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,41345,39313,336,888,723,59,26,21168,20177,8106,5393,1696,0.04102,0.02148,0.01749,0.00143,0.00813,0.95085,0.8142,0.13044,1.0491,5.1,45.94,10.6297,3.8273,0.095
1946,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,51214,48770,416,1056,870,71,31,26221,24993,10042,6680,2028,0.0396,0.02062,0.01699,0.00139,0.00812,0.95228,0.8239,0.13043,1.0491,5.1,56.9,10.8438,4.0414,0.0924
1956,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,59968,57194,421,1221,1014,82,36,30704,29264,11759,7822,2353,0.03924,0.02036,0.01691,0.00137,0.00702,0.95374,0.8305,0.13044,1.0492,5.1,66.63,11.0016,4.1992,0.0896
1921,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,40407,39432,133,495,309,26,12,20689,19718,7923,2886,842,0.02084,0.01225,0.00765,0.00064,0.00329,0.97587,0.6242,0.07142,1.0492,5.1,15.54,10.6068,2.7435,0.0475
1926,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,41676,40574,137,568,354,30,13,21338,20338,8172,2977,965,0.02315,0.01363,0.00849,0.00072,0.00329,0.97356,0.6232,0.07143,1.0492,5.1,16.03,10.6377,2.7744,0.0519
1931,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,46519,45160,152,710,443,38,16,23817,22702,9122,3323,1207,0.02595,0.01526,0.00952,0.00082,0.00327,0.97079,0.6239,0.07143,1.0491,5.1,17.89,10.7476,2.8843,0.0572
1936,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,50333,48730,182,837,521,44,19,25771,24562,9869,3595,1421,0.02823,0.01663,0.01035,0.00087,0.00362,0.96815,0.6225,0.07142,1.0492,5.1,19.36,10.8264,2.9631,0.0623
1946,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,62347,60411,225,1006,630,52,23,31922,30425,12225,4453,1711,0.02744,0.01614,0.0101,0.00083,0.00361,0.96895,0.6262,0.07142,1.0492,5.1,23.98,11.0405,3.1772,0.0608
1956,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,73004,70781,228,1171,738,61,25,37378,35626,14315,5215,1995,0.02733,0.01604,0.01011,0.00084,0.00312,0.96955,0.6302,0.07143,1.0492,5.1,28.08,11.1983,3.335,0.0596
1921,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,40408,38662,823,507,369,32,15,20690,19718,7923,14432,923,0.02284,0.01255,0.00913,0.00079,0.02037,0.95679,0.7278,0.35716,1.0493,5.1,8.6,10.6068,2.1515,0.0839
1926,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,41676,39770,849,581,423,37,16,21338,20338,8171,14884,1057,0.02536,0.01394,0.01015,0.00089,0.02037,0.95427,0.7281,0.35714,1.0492,5.1,8.87,10.6377,2.1824,0.0887
1931,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,46519,44250,947,727,529,47,19,23817,22702,9122,16614,1322,0.02842,0.01563,0.01137,0.00101,0.02036,0.95122,0.7276,0.35714,1.0491,5.1,9.9,10.7476,2.2923,0.0944
1936,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,50333,47650,1127,855,623,55,23,25771,24562,9869,17976,1556,0.03091,0.01699,0.01238,0.00109,0.02239,0.9467,0.7287,0.35714,1.0492,5.1,10.71,10.8264,2.3711,0.1028
