census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_european_total,pop_french,pop_italian,pop_maltese,pop_other_european,ratio_italian_to_french,data_scope
1911,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,985,330,568,66,21,1.7212,European Census Only
1921,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,1005,526,428,36,15,0.8137,General Census (Simultaneous)
1926,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,1151,602,491,40,18,0.8156,General Census (Simultaneous)
1931,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,1441,755,614,51,21,0.8132,General Census (Simultaneous)
1936,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,1696,888,723,59,26,0.8142,General Census (Simultaneous)
1946,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,2028,1056,870,71,31,0.8239,General Census (Simultaneous)
1956,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,2353,1221,1014,82,36,0.8305,General Census (Simultaneous)
1891,HSU_THALA,Thala,تالة,Center-West,184,57,83,36,8,1.4561,European Census Only
1896,HSU_THALA,Thala,تالة,Center-West,358,93,218,37,10,2.3441,European Census Only
1901,HSU_THALA,Thala,تالة,Center-West,479,139,283,43,14,2.036,European Census Only
1906,HSU_THALA,Thala,تالة,Center-West,671,233,378,44,16,1.6223,European Census Only
1911,HSU_THALA,Thala,تالة,Center-West,785,310,410,48,17,1.3226,European Census Only
1921,HSU_THALA,Thala,تالة,Center-West,842,495,309,26,12,0.6242,General Census (Simultaneous)
1926,HSU_THALA,Thala,تالة,Center-West,965,568,354,30,13,0.6232,General Census (Simultaneous)
1931,HSU_THALA,Thala,تالة,Center-West,1207,710,443,38,16,0.6239,General Census (Simultaneous)
1936,HSU_THALA,Thala,تالة,Center-West,1421,837,521,44,19,0.6225,General Census (Simultaneous)
1946,HSU_THALA,Thala,تالة,Center-West,1711,1006,630,52,23,0.6262,General Census (Simultaneous)
1956,HSU_THALA,Thala,تالة,Center-West,1995,1171,738,61,25,0.6302,General Census (Simultaneous)
1891,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,210,58,100,44,8,1.7241,European Census Only
1896,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,411,95,260,45,11,2.7368,European Census Only
1901,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,549,142,338,53,16,2.3803,European Census Only
1906,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,761,239,451,54,17,1.887,European Census Only
1911,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,885,318,489,59,19,1.5377,European Census Only
1921,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,923,507,369,32,15,0.7278,General Census (Simultaneous)
1926,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,1057,581,423,37,16,0.7281,General Census (Simultaneous)
1931,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,1322,727,529,47,19,0.7276,General Census (Simultaneous)
1936,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,1556,855,623,55,23,0.7287,General Census (Simultaneous)
1946,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,1958,1077,782,68,31,0.7261,General Census (Simultaneous)
1956,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,2355,1295,943,83,34,0.7282,General Census (Simultaneous)
1891,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,20823,4585,10285,5403,550,2.2432,European Census Only
1896,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,40514,7451,26800,5517,746,3.5968,European Census Only
1901,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,53541,11125,34888,6491,1037,3.136,European Census Only
1906,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,54221,13835,34387,4859,1140,2.4855,European Census Only
1911,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,62307,18406,37321,5315,1265,2.0277,European Census Only
1921,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,61616,29372,28134,2878,1232,0.9579,General Census (Simultaneous)
1926,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,70526,33619,32201,3292,1414,0.9578,General Census (Simultaneous)
1931,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,88240,42063,40291,4120,1766,0.9579,General Census (Simultaneous)
1936,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,103896,49526,47440,4851,2079,0.9579,General Census (Simultaneous)
1946,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,134848,64235,61585,6319,2709,0.9587,General Census (Simultaneous)
1956,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,165696,78892,75685,7784,3335,0.9593,General Census (Simultaneous)
1891,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,410,109,193,92,16,1.7706,European Census Only
1896,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,795,177,503,94,21,2.8418,European Census Only
1901,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,1057,264,654,110,29,2.4773,European Census Only
1906,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,1460,444,873,111,32,1.9662,European Census Only
1911,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,1695,590,947,122,36,1.6051,European Census Only
1921,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,1751,942,714,66,29,0.758,General Census (Simultaneous)
1926,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,2005,1079,818,76,32,0.7581,General Census (Simultaneous)
1931,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,2508,1349,1023,95,41,0.7583,General Census (Simultaneous)
1936,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,2953,1588,1205,111,49,0.7588,General Census (Simultaneous)
1946,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,3438,1844,1407,131,56,0.763,General Census (Simultaneous)
1956,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,3906,2089,1602,150,65,0.7669,General Census (Simultaneous)
